files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert11_SYMGEO_2G_sl1_Stand_05-40Hz.set,-11.4843494456009,-11.0638441655074,-14.7689653933693,-11.8068368479253,-11.1539379093146,-10.8839929915393,-11.1183715596233,-13.912272159956,-11.4130329652238,-6.10413342580682,-6.46509459008882,-7.37905463025229,-6.91606078014545,-7.01992319362499,-6.68380800309755,-6.60508873936885,-6.53382943707614,-5.76002171941975,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_3G_sl1_Sit_05-40Hz.set,-10.1046278870359,-10.8371614692598,-9.96780245832422,-9.52126430449538,-10.1629054799038,-10.3780073088028,-13.7522476939023,-9.3427792407525,-9.41315056723533,-6.41916751031852,-5.68943900837162,-6.37953690186577,-7.42283496444659,-6.19997303145148,-5.1732738459306,-7.27593308982248,-5.71150561401463,-6.23907745903802,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_5G_sl1_Stand_05-40Hz.set,-10.8801790903419,-12.0379518419053,-10.4115258604981,-10.3658358360865,-11.6607892211862,-12.8633747565513,-11.241273619536,-10.2989932070053,-10.0291311396323,-7.0034686196495,-6.49388074195289,-5.83047966308105,-5.55693455411024,-6.56063378008634,-6.21927844574427,-7.28490445213843,-5.85434148084209,-7.40455691472762,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_7G_sl1_Stand_05-40Hz.set,-10.1611576138008,-10.0683495535922,-10.6163976773006,-9.67555280432829,-10.3050228648086,-10.4820974074203,-13.9852868355095,-10.6178959535452,-9.90784265370364,-6.3786512570884,-6.20245877723823,-6.23246341118444,-6.68623711790787,-7.12071050837828,-5.65820281103525,-4.85019834834232,-5.98202234715038,-5.54580530086105,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_9G_sl1_Sit_05-40Hz.set,-10.3143290789063,-11.8328476472583,-13.0420484767114,-11.251061809696,-10.4039384271064,-11.1361452658658,-13.1311643840172,-10.7678737785672,-9.08573830917064,-6.20085108190382,-6.9342716638831,-5.86608847913121,-6.12098007429973,-7.07811044539173,-6.53336029019056,-7.49147243881503,-5.67378536107558,-5.10189573114198,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_11G_sl1_Stand_05-40Hz.set,-9.39276229307275,-9.37797297906015,-10.4936956066454,-11.9403509707134,-8.76588201566917,-9.52003888541867,-10.2468325179411,-10.7045959193608,-12.360480521127,-6.1044625999375,-6.53300463094102,-6.32824086141239,-6.42670138979695,-6.12537831471748,-6.55098659652735,-6.68706544643763,-6.19885100179372,-6.29996495890024,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert12_SYMGEO_1G_sl1_Sit_05-40Hz.set,-11.2614746440436,-11.4088864239356,-10.3316918267628,-11.378150225711,-13.4105255369559,-10.3988014063444,-10.2523076982109,-9.69593913475201,-9.36563539158466,-5.79891834165021,-5.25141365013111,-5.5766883897229,-6.13502090236374,-5.46355817440975,-5.76056893173984,-6.15510613686495,-5.55499641046897,-5.82014069407327,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_2G_sl1_Sit_05-40Hz.set,-8.4659510247697,-8.8311730807951,-8.3662293035925,-7.65551609298167,-8.4025906147363,-9.11673500427733,-9.77832449738068,-7.79693472950267,-7.79349058876688,-6.01766046636583,-6.56861043729013,-6.17091221908338,-6.74335154186109,-6.18139322833177,-7.04130022892329,-5.88601458757488,-6.48286919510203,-5.65541230455258,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_4G_sl1_Sit_05-40Hz.set,-10.7027264087687,-10.5716952994805,-11.2420028981768,-11.8104064984291,-10.5225134949766,-10.5299091544529,-10.2320660276547,-11.3997633017911,-13.8217844290742,-6.86499372939699,-6.16749410639499,-6.84262937047071,-6.58902676613765,-7.19234294897735,-6.33300281460442,-6.3619303728049,-7.50154675405287,-6.60049939071826,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert132_SYMGEO_1G_sl1_Stand_05-40Hz.set,-10.3725018222789,-10.1291852435623,-10.9174447606566,-9.82286140882571,-10.1347035729113,-10.0788547218645,-10.5708210718887,-13.4412114568021,-12.9800026209126,-6.54532631922684,-6.25026185489869,-6.31496133003469,-6.59320794586674,-7.86186650299721,-6.20257885455547,-5.85369197145682,-6.4194163080241,-5.88057382126652,Expert,S132,geometry,Stand
