filename,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/Epoched_Geometric/Expert11_SYMGEO_5G_sl1_Stand_05-40Hz.set,-11.0437014264099,-10.9265112048002,-10.4086190187666,-10.3507040377666,-10.8012250855777,-10.9695647237163,-11.0750838272818,-10.4937657285733,-10.334521380533,-6.56305259163426,-6.55363907741234,-6.59170321943814,-6.44631246786866,-6.40312058757688,-6.58476313540743,-6.60622440432584,-6.63014200717044,-6.04443971821056,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_7G_sl1_Stand_05-40Hz.set,-10.9568949237271,-10.8659546513257,-10.4684196328018,-10.3669206888617,-10.822934637819,-10.7093165437221,-10.8199755017048,-10.4726794983436,-10.2636822611757,-6.44927872724934,-6.25414216602935,-6.4340976180944,-6.33272270168187,-6.38469795348739,-5.72646164960303,-5.81832254230844,-6.43414777469031,-6.06752744195505,Expert,S11,geometry,Stand
data/Epoched_Geometric/Expert11_SYMGEO_9G_sl1_Sit_05-40Hz.set,-10.9965915811681,-10.8805545290478,-10.4086246167974,-10.2321936652604,-10.8175619625154,-10.908790262967,-10.9443640667717,-10.4358092295961,-10.2779894537727,-6.53441960892712,-6.5619898591864,-6.58898633447064,-6.40972829760199,-6.43565802372042,-6.5910120423301,-6.49967223245582,-6.57031148185113,-5.95033679580426,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_11G_sl1_Stand_05-40Hz.set,-11.1526143061875,-11.1396823492903,-10.8370180954415,-10.8205317517676,-10.8220059833477,-10.9784049036561,-10.8912635122352,-10.9466290652471,-10.9253791226763,-6.03269431842843,-5.94927370828309,-6.18858607672587,-6.12380888408468,-5.97218296361465,-5.41781933516683,-5.80112352361568,-6.10959010726744,-6.0012747027276,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert12_SYMGEO_1G_sl1_Sit_05-40Hz.set,-10.7746998994035,-10.8267219558486,-10.6037715356472,-10.1675038592921,-10.4756358062921,-10.7108656556839,-10.811262870848,-10.6224764388499,-10.7574710320186,-5.7537874648695,-5.81930969696166,-6.12667168940658,-5.73838023258069,-5.74249263401636,-5.35785373465542,-5.65962641669879,-6.02570986737354,-5.91927157284479,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_2G_sl1_Sit_05-40Hz.set,-10.9204905613303,-10.817963372621,-10.5537865673457,-10.3083452683659,-10.5589736574585,-10.4096932318673,-10.608716179185,-10.4453005394223,-10.5443109789643,-5.72895449999199,-5.68341277797652,-6.09678003307142,-5.77325942382923,-5.84389851337326,-4.93256287567419,-5.21921695768407,-6.02786951297499,-5.7929011003888,Expert,S12,geometry,Sit
data/Epoched_Geometric/Expert11_SYMGEO_4G_sl1_Sit_05-40Hz.set,-11.123451267685,-11.1233350095689,-10.7760914147667,-10.6632887760318,-10.9972919363118,-11.0987424516645,-11.0609527110381,-10.6941905815802,-10.4320623024539,-6.54997547431823,-6.57076636130413,-6.52937025506359,-6.37770288685586,-6.40176185258959,-6.61068460780786,-6.54380991728556,-6.51870472294908,-6.11316748764519,Expert,S11,geometry,Sit
data/Epoched_Geometric/Expert132_SYMGEO_1G_sl1_Stand_05-40Hz.set,-11.9136974092904,-11.8176656437668,-11.6863579557904,-11.3356754246285,-11.692942613444,-11.880920166094,-11.5539026735763,-11.605855121225,-11.2564270776704,-6.44627502583827,-6.23288499030302,-6.23887410516851,-5.90508083521448,-6.30307091870044,-6.33153730202495,-6.23833211641307,-6.21993047751785,-6.07911391369885,Expert,S132,geometry,Stand
data/Epoched_Geometric/Expert14_SYMGEO_7G_sl1_Stand_05-40Hz.set,-11.0102674329884,-11.0196043364603,-9.5643273398495,-10.5643356118413,-10.6014662978314,-10.9835585135029,-10.0885351195381,-10.1562959754147,-10.1385653263025,-6.29604611697324,-6.21478643451154,-5.33063884575901,-6.00089224043474,-6.13955329634252,-6.19423330601859,-5.32472961917225,-5.77964715527251,-5.81806405076777,Expert,S14,geometry,Stand
data/Epoched_Geometric/Expert18_SYMGEO_4G_sl1_Sit_05-40Hz.set,-10.3563595148701,-10.7245041685021,-10.7358039396666,-10.6112789133122,-10.4960702617367,-10.3030677638154,-10.5299561639265,-10.9422319918607,-10.220916627196,-5.55254035207525,-5.81637544937359,-6.17909771953977,-5.62824873615995,-5.67385449566546,-5.53899224545517,-5.6769318623527,-6.20541464395876,-5.58511881327131,Expert,S18,geometry,Sit
data/Epoched_Geometric/Expert12_SYMGEO_3G_sl1_Stand_05-40Hz.set,-11.2026608547962,-11.2691886847218,-10.8824487779311,-10.8528285580396,-10.8788048955187,-11.4111849053624,-11.1033139812984,-10.9956405670383,-10.8508506205924,-6.34304750866598,-6.3445302612907,-6.28230069806713,-6.15237003750787,-6.17258368609906,-6.28758731775127,-6.04579983375741,-6.18639914369926,-6.06675640084555,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert12_SYMGEO_4G_sl1_Stand_05-40Hz.set,-11.2143546561094,-11.1400045794724,-10.8812819428371,-10.901151976415,-10.879949844999,-11.0802979088852,-11.1493808560437,-11.0229320497028,-11.1526072432096,-6.25881386523935,-6.22030673186073,-6.10274202549354,-6.11940270734968,-6.06754384035511,-5.92030900114198,-6.00360101758073,-6.10475974980898,-6.09743303268085,Expert,S12,geometry,Stand
data/Epoched_Geometric/Expert12_SYMGEO_5G_sl1_Sit_05-40Hz.set,-10.8421827346652,-10.7172498552088,-10.5102210884363,-10.3001332656438,-10.4301276498032,-10.8551527644546,-11.051255527532,-10.502448920872,-10.6772846090441,-6.15291307756617,-6.26416071969458,-6.23738884159091,-6.13615503868409,-6.03768790062057,-6.24794495031325,-6.20937866462306,-6.19689565832842,-6.22888892905417,Expert,S12,geometry,Sit
