files,FC1_b,FC2_b,Pz_b,POz_b,FC3_b,FCz_b,FC4_b,P1_b,P2_b,FC1_g,FC2_g,Pz_g,POz_g,FC3_g,FCz_g,FC4_g,P1_g,P2_g,group,subject,math,bodyposition
data/slide2/short2/Novice8_3A_sl2_stand.set,-12.476927835138703,-10.89888264561427,-10.384699726514144,-10.490163657196469,-11.429174416060402,-10.088692924884043,-11.149313489723733,-10.850741148792649,-10.534683157525434,-7.375069489263086,-5.854892507509517,-6.966911774946675,-7.327022749845732,-5.730998887847642,-6.095025483235665,-5.917890240806655,-6.265072309877885,-6.093158341706049,Novice,S8,algebra,stand
data/slide2/short2/Novice8_4A_sl2_stand.set,-11.274120063916149,-11.340491535570454,-9.900449207947633,-9.649335144640782,-11.827954750583793,-11.469176395299973,-10.891641556062972,-9.748517909487052,-9.63655114651087,-6.596402934201153,-6.841925974575309,-5.78646541184038,-6.017896130492301,-7.153412661251862,-7.105838096810624,-6.101933851015437,-5.773202106225861,-5.485816353715839,Novice,S8,algebra,stand
data/slide2/short2/Novice8_5A_sl2_sit.set,-10.978186623979196,-10.89755121638351,-12.047115955525918,-12.604590562842157,-11.386992639846477,-10.952315655607169,-12.47645732581441,-12.973653040955549,-10.268047474122136,-6.395776888163406,-6.933906035827377,-7.28801571009654,-6.706247953393289,-6.758154070088982,-7.1613607077447075,-5.203400358037271,-6.072521248472942,-6.047495429435999,Novice,S8,algebra,sit
data/slide2/short2/Novice8_7A_sl2_sit.set,-11.233540190593208,-10.375823063409856,-10.992556516074348,-12.367273649561557,-10.41608245091598,-10.474031326999269,-12.026518296326485,-12.815296018041858,-12.138581586181427,-6.009467019641109,-6.3327955738429615,-6.978404688208006,-6.746599686277705,-6.226063003619538,-6.030158732148722,-5.624385510124826,-6.257173152529399,-5.8854358631315815,Novice,S8,algebra,sit
data/slide2/short2/Novice8_9A_sl2_stand.set,-11.499775825999563,-11.900375725952795,-10.10914630824098,-10.533886101379036,-11.916186389262071,-12.18768875022101,-11.42966712331632,-10.03656624139807,-11.531402598090365,-6.775904474885893,-6.711303033144402,-6.209642325151381,-5.9608347836329925,-7.135020238890666,-6.32408773531663,-6.450744270981945,-6.137206298416134,-6.0421399611212845,Novice,S8,algebra,stand
data/slide2/short2/Novice73_1A_sl2_stand.set,-12.16418901689586,-10.330467980129907,-10.727111760197742,-10.312949100861493,-10.186162363586437,-11.216048366657704,-9.771592014629777,-10.437182258969532,-11.052004722355242,-6.063243007961403,-4.825681861414255,-6.405678419643384,-6.151426144813971,-5.667650077213083,-4.040230598300619,-5.858110411796079,-5.69749855305856,-4.758110315217265,Novice,S73,algebra,stand
data/slide2/short2/Novice73_2A_sl2_stand.set,-13.736604434444008,-12.16260225212341,-10.828366330487809,-10.485804415002388,-11.846661766532177,-12.003876414719649,-12.315235242981874,-11.970150541649911,-11.324135396749107,-6.240426781539079,-6.70266119073533,-6.078548105047047,-6.112496402561968,-6.410099472712501,-7.448511603319891,-6.815247930125059,-6.475831948579584,-6.44313938096538,Novice,S73,algebra,stand
data/slide2/short2/Novice73_3A_sl2_sit.set,-11.471948209721885,-10.560418912479133,-13.149223458308802,-11.079066951093735,-10.756050898829919,-9.78997888550681,-11.572762875230971,-13.097294522136792,-13.850926747887764,-6.245307877196248,-7.440956029547588,-6.15977867549158,-6.209914774657855,-7.5905142781496,-6.249334334551518,-5.6979985820149945,-6.293604080241977,-5.931292684047614,Novice,S73,algebra,sit
data/slide2/short2/Novice73_4A_sl2_sit.set,-11.491825329583945,-14.407026018972962,-11.765085062412137,-10.759175518900049,-11.975807431233033,-11.300271305925797,-11.599426034615778,-10.632783208612924,-10.266148837954864,-5.645118149519286,-6.198751379915141,-6.1352022072054275,-6.383099569112116,-5.817436524892575,-6.6807839377088785,-6.16380295587429,-6.321064639507143,-6.306282664557136,Novice,S73,algebra,sit
data/slide2/short2/Novice73_5A_sl2_stand.set,-12.695408851505077,-11.042586035420833,-12.361983608052723,-13.485743737916584,-12.565474965457975,-11.07425697254816,-8.910298002334294,-12.222730539743107,-10.939633783321941,-5.409650833760384,-5.980337363358624,-6.2304796454221645,-6.880265932298376,-5.9122510625154785,-5.6238750695966395,-4.411295041604063,-6.396739584524484,-6.165985134953105,Novice,S73,algebra,stand
